Header_review,review_text,rating
Best in the market!,Mind blowing purchaseIt's bass is very good & battery backup is super then only one disappointed in this that's when using to talk it didn't respond correctly and it's automatically it off,5.0
Worst experience ever!,Flipkart provide me a damage product. Return rejected. Don't buy this.,1.0
Great product,Unbelievable sound quality!!! Nothing is as good as this Realme Buds Q. Awesome Product!!!!,5.0
Great product,Super quality,5.0
Don't waste your money,First few days it works well...then after ...the case and earpods didnt charge ...,1.0
Good quality product,Good prodect nice ❣️,4.0
Just wow!,This is best in buds in earphone,5.0
Mind-blowing purchase,Awesome sound and bass. Love this product.,5.0
Terrific purchase,Superb,5.0
Must buy!,Pretty good ☺️,5.0
Simply awesome,Osmmm bass osmm sound quality In simple words it's just amazing 💯😍❣️,5.0
Hated it!,Don't buy this...call quality very very worst and battery too,1.0
Unsatisfactory,This product is waste of money,1.0
Decent product,"All good ,,,but I think it can be more better in performance. About music quality -good bass quality but Equalizer is little bit more than the bass,, music smoothness can be more better. Fitting also lightly lose in my ear,, battery backup is good. I m not misguided anyone it's absolutely my own opinion..",3.0
Unsatisfactory,"Within a month of purchase date, Right ear buds battery drawed down. Now Its capacity is 10 mins of playback.. My first electonics purchase fail.. Normally any electronics would last atleast six months.. This purchase is a tragedy. The problem happened after the return period. So the money i have spend for 20 days use is rs 80 per day for this worst gadget.",1.0
Perfect product!,Good quality,5.0
Worth the money,Good product.,4.0
Must buy!,I liked this product.... The bass is very good....some people face problem with this product is the delay in play song first song comes in right side then left side becoz of gaming mode you turn off gaming mode this problem gets solved.. thanks realme for making this type of product....,5.0
Highly recommended,Best product,5.0
Must buy!,Battery is superb Sound quality awesomeBuild quality is goodBut value for money I love it,5.0
Nice,Nice colity,3.0
Just wow!,"Good product, I thought it has C type to charge. Anyone who need long battery life, I recommend neck headphones, this tws has only 2 hours of battery life every 2 hours you have to charge it.",5.0
Must buy!,Very good product... Go for buy it in 2021👌,5.0
Brilliant,Nice 👍👍👍👍👍👍👍👍 good,5.0
Super!,Awesome build quality loved it... Sound 🔊🔊 quality is awesome and bass is mind blowing,5.0
Worst experience ever!,"Poor connectivity. It gets disconnect multiple times. Alright for listening songs n watching videos but BAD for taking calls. It's difficult for other person on call to hear me clearly, have to shout. The BADDEST part - this product is not returnable.",1.0
Terrific,"After using 1week my experience in bud q is very good .soundquality also spr. there is no pairing issues .product is worth for 1,600.don'buy this product if the price goes 2,000",5.0
Super!,Mindblowing productGood sound qualityBattery backup to goodBut calling issuesI am parches 1564/-rs,5.0
Simply awesome,It is very good product,5.0
Terrible product,In riding on bike the mic was not good we want to stop the bike and want to speak,1.0
Very Good,Good product Great bass & sound quality,4.0
Fabulous!,Osm product,5.0
Brilliant,I was using this 85 daysBattery backup is good (around 3-3.5 hours backup in 80-90% volume) sound and bass is to good.. Build quality is heavy Because it has fallen from my hand twice😂,5.0
Classy product,Realme q buds was very excellent in my own experience. Worth for the money,5.0
Worth every penny,good sound quality🤩,5.0
Good,Pocket friendly worth buying sound quality is awesone bass is also good battery backup is also quite good.10/09,3.0
Best in the market!,Osm 😎Mind blowing Nice products,5.0
Nice product,"Very nice product, sound system is very good.. but battery backup is the worst one",4.0
Don't waste your money,Sabse bekar item battery 🔋 backup only 1 hours 50 minutes,1.0
Mind-blowing purchase,Very 9ice product,5.0
Did not meet expectations,One bud is not working.I have contact many times with realme and flipkart but my problem is not solved.,1.0
Utterly Disappointed,"Voice call quality is pathetic, can be used only for music. Sound quality is ok.",1.0
Classy product,I was using from 21 dec 2020 till now no problem with sound quality and battery over all super awesome,5.0
Just wow!,This is the osm product I loved it 💞😍Bass is the blaster,5.0
Don't waste your money,Sometimes sounds breaking,1.0
Fabulous!,In one word just awesome 😎,5.0
Pretty good,What I likeBuild quality Price Battery backupDislikeSound quality Bass on high sound Will not recommend for buy,4.0
Utterly Disappointed,"It's not worth buying as it does not have noice cancellation,    otherwise sound quality is good, can buy if you want to use it for game and music.",1.0
Hated it!,not good in calling,1.0
Waste of money!,One side is not working.,1.0
Moderate,"earbuds not properly charged,Bass lavel zerobattary backup not satisfied",2.0
Super!,I love it,5.0
Horrible,The sound quality is awesome and i suggest to buy without any confusion at this price range but i gave 3 star rating because of call quality. Don't expect this in calling as it give obsolete results,1.0
Very poor,Worst Products I ever seen in my life,1.0
Worst experience ever!,Waste of money,1.0
Horrible,Product is ok But if you want for calling then let it go it's worst experience ever.,1.0
Terrific,Veryyy verry happy.... Thnk u Flipkart,5.0
Slightly disappointed,Not working properly and not connected my phone,2.0
Best in the market!,Sound quality super,5.0
Good choice,Very good,4.0
Super!,Mind blowing..... Awesome,5.0
Fabulous!,Good sound quality at very low price.The box is very tiny and egg sized.Fits very well to both the ears and it won't fall down. Music/Audio quality is nice.,5.0
Wonderful,Value for money.,4.0
Worth the money,Nice produc,4.0
Worth every penny,"#GREAT PRODUCT, SOUND EFFECTS GOOD, TOUCH EFFECTS AND THE DESIGN ARE MAKING REALME GREAT🍯💕",5.0
Waste of money!,Touch button never propanal working so bad quality never purchase another guys my advice... Waste money 💰..,1.0
Mind-blowing purchase,Nice quality nice bass,5.0
Awesome,Super ❤️ sound Super batterySuper bassSuper design10/10,5.0
Classy product,The best quality in the  best price.   the beautifull sound quality. extrandory Bass. a good product.,5.0
Worst experience ever!,I am completely disappointed with this product.. when i first plug it for charging the case was showing green light which means the battery got fully charged but as i check the battery status in my phone it is showing 10prcnt only..and even after 3 hrs of charging it is showing the same msg..i suggest everyone to dont buy this product,1.0
Classy product,Got for 1599Bang for bucks.Just for casual use and not for gaming or office calls.Worth the price what been paid.,5.0
Worst experience ever!,Playing games sound too delay and refund option not available..,1.0
Worthless,Don't waste your money the very bad quality battery very poor,1.0
Terrific,Very good,5.0
Excellent,Good Battery Backup and Sound Quality,5.0
Classy product,Super quality***👍👍👌👌Osm product**👍👍Super base,5.0
Don't waste your money,"I think realme might have forgotten that the very basic use of ear pods is to talk. Music, battery , and design these all are secondary things. All I can say about this product is that, these earpods has the worst mic I have ever used. It won't pick ur voice if u are wearing mask. Don't buy",1.0
Useless product,"Just waste of moneyIf you want to buy a best tws go for boat instead of realme And the difference is only some parameters. But I can say that boat is best, my replacement also not accepted. Buds not working But if there any problem boat will definitely contact youAnd now I'm using boat 441 tws",1.0
Fair,Not bad,3.0
Very Good,Sound quality and bass super. Fits perfectly to the both ears.Best buds in this price range 1.5kbut touch sensor is not good.My score is 4 out of 5.,4.0
Useless product,Very bad customer relationship maintained by flipcart. Buds q while call in driving voice not clear to hear to another person only air disturbing. So not take for this one. Flipcart shows return policy After placed return cannot received by flipcart. Flipcart only return by damaged product only this is said by flipcart executive. So very bad customer relationship and waste product I was purchased.money waste.,1.0
Moderate,"I purchased this headset on Oct 26, 2020. Till last month(Feb 2021), it was good. But after 6 months, the sound quality in right headset became very poor. It was like, I can't hear it. My headset lasted for only 4 months (Nov, Dec, Jan, Feb). I suggest not to buy this product, if you are searching for a long lasting headset.",2.0
Terrific purchase,Very Nice,5.0
Bad quality,Poor don't buy anyone plzzzzz😭 its mhaghtiya bluetooth.,2.0
Moderate,Earphones are not fit in the ear they are very loose don't buy it,2.0
Not recommended at all,Bad product  west amount,1.0
Brilliant,"Awesome product, light weight bodyAwesome Sound quality, comfortable with ear",5.0
Expected a better product,"For tis price it's very high, sound quality is ok not tooo good on average we can give 2.5",2.0
Useless product,Bad product,1.0
Good quality product,Awsome SoundGood Finished Product,4.0
Wonderful,Almost everything is good but battery could have been improved !!,4.0
Hated it!,Worst for calling...other sound quality is too much good,1.0
Good quality product,Its osmCool feeling,4.0
Excellent,Value of money 🤑💰,5.0
Mind-blowing purchase,Good quality. sound quality is too good.,5.0
Pretty good,Till now i am not getting any problem.When i open the lid it just automatically connect.secure connection is there with Bt 5.0But there is not any pairing light or any other light that shows whether it is connected or not.Only one light is present that shows case is charged or not.Bass is great when u turn on the equaliser in your smartphone.why i am giving 4 stars because of its design that it does not have type c port and does not any other light.Rest is great.Battery life is also great...,4.0
Just wow!,"very nice product,thumping bass you like bass lover definate purchase",5.0
Decent product,Nice products,3.0
Delightful,The touch area is not suitable. The touch area should be more wider for better result.,4.0
Very poor,Waste of money not charging this product always shows 10% charge only.waste of money,1.0
Horrible,It's been just a month that I brought it but now my right side bud is not.working at all. On the other hand I have warranty as you have mentioned for 1 year but I don't know how to return it. So need your help contact me as soon as possible. I can't believe it didn't last for 6 month,1.0
Decent product,"Battery ok, style good, I can hear the calls good, but microphone is not that good",3.0
Highly recommended,Superb,5.0
Does the job,ONLINE CASH ARE NOT TAKEN DUR TO THIS FACING SOME PROBLEM,3.0
Terrific purchase,Sound quality is ufff.......Lows are more than averageBass is great definitely you'll love itOverall good at this price,5.0
Classy product,I thought buds may b uncomfortable to use and travel because i never used buds before and now I used buds for the first time and these buds are just unbelievable❣️don't think much just go for it 🔥,5.0
Worth every penny,"Okay...!!! When i went to purchase i had soo much confusion about this because in youtube many people are complained about the problem that they faced after 1week ,months but im using this from exact one month i didn't faced anything... If your budget is less i suggest you this ear buds ....it won't disappoint us",5.0
Bad quality,While riding bike i cant hear clearly an the other person also cant hear clearly... Facing problem...,2.0
Terrific purchase,Best,5.0
Wonderful,"The sound quality and the design is nice and it look premium in hand. And the company claim of 4.5 hrs playback but ,i get more than 6 hrs playback time with 50%volume.",5.0
Good,Waste buy 3 months before but still not working plz don't buy this product,3.0
Worst experience ever!,Don't buy this product if u buy west of urs money,1.0
Terrible product,Damage,1.0
Must buy!,Good  product 👌👌,5.0
Terrible product,The gaming mode is absolutely waste. There is a min 5 sec gap between visuals and sound. Also the connectivity loses frequently. Bass and sound quality is also not up to the mark,1.0
Bad quality,"Both buds  are not working together,sometimes sound stops in one of the bud and in other bud sound will be there.constantly disconnects and connects by it self.Touch control is also not proper.sound quality is good.",2.0
Absolute rubbish!,Can't able attend the call,1.0
Could be way better,"Voice breaking in every two minutes when watching youtube and saved videos in phone , facebook etc",2.0
Moderate,Sensors buttons not working properly... click 5times 6times..,2.0
Expected a better product,One buds got off suddenly on 1st day and Need extra effort to fit in ear.,2.0
Worst experience ever!,"Connectivity issue, not able to connect with realme link app . I won't recommend to anyone!!!!",1.0
Useless product,"Very bad product, i had received defective product and through many of effort i had tried to return the product but the effort was useless. Very very bad",1.0
Could be way better,"Total Waste for iOS devices, works fine in Andriod but having a lot of issue in iOS, too much frustrated while using in Apple Mobile",2.0
Horrible,Just disgusting.After two days it drops from just 2 feet's and after that earbuds not working yet.,1.0
Utterly Disappointed,Connectivity very poor,1.0
Nice product,This is so amazing 👍😍🤩,4.0
Terrific purchase,Nice,5.0
Value-for-money,Superb,4.0
Terrific purchase,Nice produced,5.0
Pretty good,"Have used more then a months, found to be satisfied with this product. The issue I face is sometime it get disconnected and connect again at soutskirts. Overall love this product.",4.0
Value-for-money,Osm 🔥,4.0
Terrific,Really good feeling for game mood and call & songs...📞🎶🎮,5.0
Fair,You can use this only for hearing songs not suitable for calls,3.0
Excellent,"Super duper quality , a superb productPrice is less as per product quality I love it",5.0
Nice product,Sound is good but not as better as its sister product realme bluetooth wireless earbuds tuned by Alan Walker & battery back is also good. For me fits loose in ear. Weight wise its light. Touch response is good.,4.0
Fabulous!,Very good quality realme airbuds Q 👌👌👌👌👌,5.0
Good quality product,Awesome product realmi buds Q. 👍,4.0
Utterly Disappointed,"First of all the return policy of Flipkart is worst, i have to contact the real me website to return the product, what is the use of Flipkart then??? I could have ordered it from the realme website itself, Secondly this product is the worst product i have ever used, the touch is not working as described in the description and it will fall off in all the situations from my ear, the mic experience is worst, i have to remove this TWS if i need to speak in the call. And I couldn't return it becau...",1.0
Good,Good product but not a great for thise price range,3.0
Did not meet expectations,Sound n bass is so good . But touchpad was not properly working ......😡😠🤬🤬🤬,1.0
Nice product,Review after using 7 days. It is over all a good product. Treble is not good but yes depends on song quality as well. Bass is good. Battery backup is also good. Noise cancellation is passive not as per my expectation. But it is not recommended for calling. Mic is not for calling.,4.0
Excellent,Excellent productSound quality is awesomeOutstanding battery backupLight weight so easy to carryBest in fit,5.0
Fabulous!,Super not bad,5.0
Excellent,total money waist don't suggest to any one to buy this,5.0
Wonderful,Nice product but not for comfortable,5.0
Highly recommended,Osmmmmmmmmmmmmm bassJust love it❤,5.0
Fair,Really not suitable for calling purpose. Music experiance was nice.,3.0
Perfect product!,Value for  money,5.0
Value-for-money,All is ok but  not fit well and fall down😓,4.0
Pretty good,"Everything is fine except...one...I have to connect it twice.. I don't know why it is happening but this is really annoying....i connected it once,system shown that it is connected but there was no sound then i disconnected and again connected it then it satrted running..it happens evertime i put it out of box...anyone have any idea how to fix this",4.0
Perfect product!,In this price this is nice no doubt go and buy it.,5.0
Brilliant,Battery backup super.. design also very nice . In 1499 rupees this is best product,5.0
Nice product,Good bild quality,4.0
Very Good,Great Earbud in this price segment sound is louder and clear also the mice quality is very good didn't face any issues during call.. If you are looking for a Earbud believe me this can be your budget option...,4.0
Good quality product,• Sound effects are good.    • Some times right earpiece battery drain fast before left earpiece.difference about 10% to 20%   • While calling person on the other side hear over noisy sounds from our surroundings which irritates them and make them feels uncomfortable.   • Feels ok with use of more than hours. But we don't able to understand what happens on surroundings due to earbuds isolates outside noise.,4.0
Brilliant,Good quality,5.0
Really Nice,Sound is nyç but.. perfectly not fit in ear,4.0
Pretty good,"Nice product, but the earbuds are very slippery from fingers. So they can be fall from them easily. The case is also not user friendly for easily opening. The whole design is slippery moulding.",4.0
Delightful,It's sounds like real me buds 2 Not so fabulous But still bass is gd,4.0
Good,Pros: Connectivity is greatAudio is greatCons:Box is so smooth that it slips away easily :(I used this for 15 days and no issues found other than the smoothness of the case.,3.0
Worth every penny,i have been using it for almost 1 month. and it ia quite good in terms of price and specs ..i strongly recommend it.,5.0
Value-for-money,"Have to charge the case so often .... otherwise the sound is damn good , game mode isn't that good , overall battery is very average and sound quality is marvellous",4.0
Super!,AUDIO AND NOISE CANCELLATION VERY GOOD FOR INDOOR USERS NOT FOR OUTDOOR.....OVERALL PRODUCT AND DELIVERY TOO MUCH GOOD,5.0
Must buy!,Osm Product in this range..,5.0
Excellent,good product quality. But I had lost it in market. If you are a very caring for gadget type person then you can go for it.,5.0
Really Nice,I bought it for 1600 The sound quality is amazing.There is slight Bluetooth issues while walking.Call quality is good.The upper part of the case is quite flimsy.Overall 4/5 Very good product.Note:Don't buy it at its regular price buy it during sale as proce comes down by 300-400.Or check the price at realme store.,4.0
Wonderful,best in quality and sound is LITERALLY best in class only con is the it doesn't have a case battery indicator thats all.....,4.0
Super!,the bass quality was really outstanding 10\10,5.0
Brilliant,Bass boosted ....... Best in class ....worth for the money ....got it for 1464,5.0
Super!,Awesome products in this price range,5.0
Best in the market!,"This is best product,quality-10-9,sound-10-10,bass-10-8.",5.0
Worth the money,Nice product Value for money,4.0
Perfect product!,Value for money,5.0
Pretty good,"Nice product , battery backup is good",4.0
Does the job,Value for money product. But the gaming mode is not good.,3.0
Fabulous!,Good for this price. And awesome sound quality and call Connectivity,5.0
Brilliant,I am happy,5.0
Good choice,Best quality and super product for this price segment.... I like it,4.0
Really Nice,All is good but some reason is very harmful effects that realme buds headset,4.0
Highly recommended,Good sound quality with good base....a perfect pair or tws at this price range,5.0
Great product,A decent product indeed.,5.0
Value-for-money,Value for money 💵💰... Worth it... Paisa vasool,4.0
Great product,I AM USING BUDS Q FROM 1 MONTH..THIS A NICE AIRBUDSNO ISSUES BEST QUALITYBEST BATTERY BACKUP,5.0
Just wow!,Very nice product good sound quality and battery backup. Best value for money tws.,5.0
Very Good,"Nice product, with nice built quality.",4.0
Wonderful,Nice produced,5.0
Really Nice,Fabulous🤩fast delivery,4.0
Simply awesome,Sound quality 👍Brass  👍Build quality super 👍Design 👍,5.0
Hated it!,Stopped working within 10 days bad product,1.0
Brilliant,Gud product,5.0
Delightful,Sound super qualityBattery life also good at priceBuilt quality also superb 👌,4.0
Excellent,Great product in nice price 1499,5.0
Awesome,Sound effect is awesome it's rly good product battery back up is rly good,5.0
Not recommended at all,This product is vary bad .Poor Quality Battery backup is very poor,1.0
Perfect product!,Awesome product Awesome sound quality  Nice design Long  battery backup,5.0
Delightful,"Good product in this price range (I got it  for Rs564),but there is latency issue while watching videos in phone mainly in laptop or in Tv",4.0
Not recommended at all,Don't buy...,1.0
Worst experience ever!,Super product,1.0
Don't waste your money,The earbud isn't getting charged..not even a month passed...,1.0
Utterly Disappointed,Battery problem,1.0
Simply awesome,Good bass is also good      best in budget  I am writing this after 6 months of use,5.0
Horrible,Worst product dnt ever buy,1.0
Absolute rubbish!,Okay for the price 1499,1.0
Classy product,Very good battery life  1 day bettery beckupNot for gamersVery good soundSmouth sound,5.0
Useless product,"Disgusting and horrible product, stop getting connected to Bluetooth in next day and they are also not refunding the amount as well as not accepting the replacement order ,waste of money , not expected such kind of horrible service from flipkart",1.0
Not recommended at all,"Don't buy this ...worst product bad sound quality, bad connectivity, bad battery backup, Don't buy this product specially gamer...",1.0
Nice product,It's good but not as much other people saying...Don't expect so much,4.0
Highly recommended,Osm,5.0
Mind-blowing purchase,Very Nice product im Very happy,5.0
Best in the market!,Sound quality is very good...,5.0
Best in the market!,Nice sound quality good at this price,5.0
Very Good,Noice cancellation is not up to mark..other wise good product for the money,4.0
Fabulous!,Super,5.0
Nice product,Using it for 1 month everything looks good,4.0
Worth every penny,"Awesome battery, awesome sounds",5.0
Decent product,Left ear touch panel is not functioning properly,3.0
Good choice,Bass and sound is good but connectivity is very poor and shittt which is quite disturbing!!! I will suggest go for another one......,4.0
Fair,Sound is clear but bass is not that much great but it's good. Battery backup is average. I would recommend redmi airdots as I used before.,3.0
Terrific purchase,Nice product,5.0
Nice,"Not bad,, sound quality not good",3.0
Fabulous!,Best headphones,5.0
Nice product,Super,4.0
Hated it!,Charging case is not working,1.0
Classy product,Nice,5.0
Highly recommended,Super,5.0
Classy product,Its Good One,5.0
Terrific purchase,Very good product,5.0
Delightful,Good but under 1000 or 1200 Rs,4.0
Worst experience ever!,Don't buy this product wastage of money .Once you buys it will be works for one day next day it can't pair with your phone very bad.....I am sooo much disappointed with this product ☹️,1.0
Don't waste your money,Charging issue,1.0
Not good,not as expected,2.0
Excellent,nice product,5.0
Decent product,Superb,3.0
Worthless,Not good at all at thus price point better bluetooth headsets,1.0
Must buy!,Best in This price range,5.0
Really Nice,Good Earbuds,4.0
Super!,Loved It ...❤️❤️,5.0
Wonderful,True value for money,4.0
Wonderful,Nice,4.0
Simply awesome,Super,5.0
worth for the price,"Good bassy tws but only drawback is it wont fit to all ears and if you shake your head vigorously, it may fall. otherwise its good one.",4.0
Wonderful,Good product,4.0
Highly recommended,Superb one,5.0
Good quality product,Value of money Nice quality,4.0
Decent product,Sound quality is super but charging is very bad,3.0
Terrific,Very nic buds awesome sound call quality also good......,5.0
Terrific purchase,Wonderful for this price,5.0
Could be way better,Charge is not stable something could be wrong with this product,2.0
worth for the price,"Good bassy tws but only drawback is it wont fit to all ears and if you shake your head vigorously, it may fall. otherwise its good one.",4.0
Wonderful,Good product,4.0
Highly recommended,Superb one,5.0
Good quality product,Value of money Nice quality,4.0
Decent product,Sound quality is super but charging is very bad,3.0
Terrific,Very nic buds awesome sound call quality also good......,5.0
Terrific purchase,Wonderful for this price,5.0
Could be way better,Charge is not stable something could be wrong with this product,2.0
Just okay,Sound is lagging and it is automatically disconnecting sometimes,3.0
Value-for-money,"Good bt problem in conversation when you wre mask, or u are on the road",4.0
Fair,"Touch sensor are not that active, sometimes it doesn't work at all and sometimes it does...",3.0
Not good,Some time not connect with my phone...,2.0
Unsatisfactory,Just ok,1.0
Pretty good,Worth product,4.0
Decent product,Sound quality is not much good,3.0
Good choice,Very good product and the quality was also very good suggest you to buy this once you all will love it,4.0
Brilliant,Battery is vry short,5.0
Wonderful,Very nice product,5.0
Nice,Good but not for calls. Poor range .bass is very good.,3.0
Bad quality,Within one month battery backup going to 1 h Don't purchase this item above 1500Cost must be with in 1000rs onlyConnectivity is also poor,2.0
Unsatisfactory,Worst sound than than ever Even 80 rupees headphones are working better than this product,1.0
Terrific purchase,Awesome product,5.0
Good quality product,Value for money good product in price range but littel more improvement.,4.0
Simply awesome,Very nice products,5.0
Worth every penny,Awesome earbuds. I love this product 💓,5.0
Classy product,Really nice product,5.0
